postal_code,pct
1000,20.84381970678775
1020,20.84381970678775
1030,9.863799831662714
1040,12.487895333264655
1050,15.254100997105176
1060,11.845526957020292
1070,6.758223375521228
1080,5.146524458274052
1081,4.922126867365936
1082,7.2733022373310146
1083,4.930302550293046
1090,5.086159504085231
1120,20.84381970678775
1130,20.84381970678775
1140,8.741515318290222
1150,8.991851430737162
1160,10.261247356085292
1170,12.153094850518125
1180,11.335033314140002
1190,8.663628656210259
1200,9.7965528433064
1210,12.972371592805487
1300,11.839594429096294
1301,11.839594429096294
1310,15.108681157487666
1315,9.351620947630924
1320,9.29875923602398
1325,11.835686777920412
1330,12.609380469023451
1331,12.609380469023451
1332,12.609380469023451
1340,13.876223575550808
1341,13.876223575550808
1342,13.876223575550808
1348,13.876223575550808
1350,8.189655172413794
1357,5.451586655817739
1360,8.872069799222118
1367,7.126747857465043
1370,8.44896276961121
1380,16.973214910133574
1390,9.82506247768654
1400,12.281244627815024
1401,12.281244627815024
1402,12.281244627815024
1404,12.281244627815024
1410,12.48847015417051
1420,15.714073266246963
1421,15.714073266246963
1428,15.714073266246963
1430,5.66639336795117
1435,16.47073382007177
1440,10.359090054521527
1450,8.437944868642424
1457,10.701402805611222
1460,8.688269421253715
1461,8.688269421253715
1470,9.858433156107873
1471,9.858433156107873
1472,9.858433156107873
1473,9.858433156107873
1474,9.858433156107873
1476,9.858433156107873
1480,5.2531144235616045
1490,8.884278034518532
1495,7.803099361896081
1500,7.792365080903013
1501,7.792365080903013
1502,7.792365080903013
1540,9.520984724899897
1541,9.520984724899897
1547,7.637969094922738
1560,10.06734890230036
1570,8.0399727458551
1600,7.608634391027447
1601,7.608634391027447
1602,7.608634391027447
1620,11.577123050259965
1630,10.469314079422382
1640,9.195834228043804
1650,7.78841348556491
1651,7.78841348556491
1652,7.78841348556491
1653,7.78841348556491
1654,7.78841348556491
1670,9.030397159973374
1671,9.030397159973374
1673,9.030397159973374
1674,9.030397159973374
1700,9.563442567184488
1701,9.563442567184488
1702,9.563442567184488
1703,9.563442567184488
1730,11.596219632399837
1731,11.596219632399837
1740,12.903027697598723
1741,12.903027697598723
1742,12.903027697598723
1745,10.001348799568383
1750,10.695876288659793
1755,11.541737649063034
1760,8.555602897315723
1761,8.555602897315723
1770,6.329206651527361
1780,8.81736701198929
1785,11.161249785799967
1790,10.24803208079608
1800,8.29917590714933
1820,7.985916619988798
1830,11.453935932455922
1831,11.453935932455922
1840,12.003553511705686
1850,9.2296115623135
1851,9.2296115623135
1852,9.2296115623135
1853,9.2296115623135
1860,10.379670851883347
1861,10.379670851883347
1880,9.656607700312176
1910,13.935222672064778
1930,16.49961020158147
1932,16.49961020158147
1933,16.49961020158147
1950,8.292647903503733
1970,7.730535615681944
